album_id,additional_artist
8424,Sebastien Grainger
8432,Clay Frankel
8436,Kawabe Taigen
8437,Alexander Hacke
8439,Sune Rose Wagner
8443,Christian Beaulieu
8448,Yuka Honda
8451,Colin Gillespie
8456,David Bryson
8466,Andrew Scott
8473,Amy Cole
8486,Amy Millan
8500,Shaun Lopez
8502,IX
8505,Lee Bains III
8511,James Brooks
8521,Daveed Diggs
8523,Lars Frederiksen
8530,Frankie Rose
8564,Mark T. Smith
8568,Todd Snider
8580,Mark O'Connell
8583,Todd Fink
8589,Christopher King
8592,Zach Johnston
8595,Crook Kid
8606,Brownwyn Griffin
8607,Tom May
8610,Ben Chasny
8617,Taylor Hawkins
8618,Joshuaworld
8625,Josh Rawson
8631,Emma Richardson
8632,Nick Chiericozzi
8640,Tariq Trotter
8651,Iyad Ben Abderahmane
8656,Jas Shaw
8675,Kip Berman
8677,Buzz Osborne
8690,James Thomas
8694,Dave Vachon
8697,Kyle Wilson
8701,Birgir Thorarinsson
8708,Jon Philpot
8716,Karl Hyde
8730,Steve Diggle
8737,Jonathan Clark
8740,Stephen Lewis
8754,Dan Burke
8755,Noel Heroux
8759,Ayse Hassan
8772,Julian Casablancas
8777,Zappi Diermaier
8780,Joe Hahn
8783,Tim Jackson
8794,Wayne Coyne
8800,Bristol Ensemble
8802,Fabienne Débarre
8803,John Barrett
8804,The Tony Bennett Quartet
8811,Lachlan West
8826,Jonny Pierce
8829,3rdEyeGirl
8830,Chris Martin
8841,Symphonica Air Orchestra
8851,Wayne Coyne
8858,Christopher Allen
8864,Hayley Mary
8867,Nathan Willett
8916,Bassékou Kouyaté
8920,George Clarke
8925,Tyler Parkford
8933,Efrim Menuck
8935,Joshua Redman
8963,Aidan Moffat
9009,Adam Weiner
9011,Nick Sylvester
9017,Phil Alvin
9035,Mekons
9039,Blacksmith
9041,Mike Weiss
9045,Jonny Greenwood
9065,Slim Twig
9072,Jay Maas
9115,Bassékou Kouyaté
9119,George Clarke
9124,Tyler Parkford
9132,Efrim Menuck
9134,Joshua Redman
9162,Aidan Moffat
9208,Adam Weiner
9210,Nick Sylvester
9216,Phil Alvin
9234,Mekons
9238,Blacksmith
9240,Mike Weiss
9244,Jonny Greenwood
9264,Slim Twig
9271,Jay Maas
9279,Cindy Lou Goodman
9297,Fennesz
9303,Angel Deradoorian
9305,Ghost
9306,Jana Hunter
9339,Annie Truscott
9343,Magik Magik Orchestra
9364,Jeffrey Lewis
9368,Black Prairie
9371,Andrew Milk
9373,Molly Hamilton
9379,Steve Spacek
9386,Nick Pratt
9399,BadBadNotGood
9410,London Metropolitan Orchestra
9433,Emmylou Harris
9449,Jeff Lynne
9451,Cory Hanson
9480,Ezra Tenenbaum
9484,Jack White
9486,Gary McClure
9512,Matt Myers
9518,Luis Vasquez
9525,Merle Haggard
9526,Diego Lorca
9540,Tom Baker
9561,Joe Yarmush
9585,Joe Hobson
9595,Captain von Streicher
9604,Dairoku Seki
9605,Dave Tits
9625,Corin Roddick
9643,Joey Ryan
9651,Chris Lynch
9668,Edie Brickell
9683,Sean Miller
9691,Matt Cherry
9695,Jana Hunter
9727,Anthony Anzaldo
9733,Brian Aubert
9735,Erik Arnesen
9764,Emil Nikolaisen
9768,Adrian Acolatse
9786,Promise of the Real
9845,Blixa Bargeld
9869,DJ-Kicks
9876,Michael Stein
9878,Laura Veirs
9883,Catherine Irwin
9886,Venice Dawn
9901,Chuck Patel
9905,Rostam
9923,Bitchin Bajas
9927,Wadada Leo Smith
9965,John Askew
9987,Erick Arc Elliott
10000,Andrew Fidler
10021,Jesca Hoop
10037,Suzanne Ciani
10039,Paul White
10045,Glenn Astro
10060,Devin Townsend
10075,Tom Watt
10081,James Yorkstone
10099,Gary Louris
10104,Thalia Zedek
10110,Alva Noto
10116,Laurel Sprengelmeyer
10136,Reine Fiske
10143,Masako Takada
10150,Sophie Trudeau
10158,Oliver Coates
10165,Merzbow
10166,Tom Linton
10191,Ben Walker
10194,Jim O'Rourke
10209,Joe Henry
10214,Sun Kil Moon
10220,Daoud Popal
10225,Constantin Tzenos
10236,Roger Sellers
10247,Peter Laurence Gordon
10277,Miles Davis
10328,Jack Palmer
10360,Arian Shafiee
10368,Jeffrey Novak
10387,Casper Clausen
10403,Bryan Devendorf
10417,Arthur Delaney
10434,Nimai Larson
10442,Margaret Chardiet
10443,Siinai
10487,The Magnetic Zeroes
10491,Promise of the Real
10492,Carlos Santana
10495,Benjamin Lazar Davis
10527,"Takaakira ""Taka"" Goto"
10533,Moby
10550,Jesse F. Keeler
10576,Paul Westerberg
10602,Pippa Murphy
10658,The Wayward Band
10660,Full of Hell
10681,Laetitia Sadier
10706,James Holden
10717,Andrew Fearn
10746,Ben Greenberg
10757,Mark Walton
10791,Kurt Vile
10798,Jon Thorne
10806,Jason Falkner
10835,Metro Boomin
10845,Alex John Hall
10847,Earth
10895,Parquet Courts
10904,James Harris
10930,Tim McIlrath
10939,Jacqui Abbott
10940,Jean Hervé Peron
10967,Allison Moorer
10971,Emily Haines
10983,Justin Perkins
10998,Brian Eno
11008,Los Campesinos
11016,Thee Oh Sees
11025,Matthew E. White
11044,Christine McVie
11047,Nico Muhly
11094,Chilly Gonzales
11107,Shamir Bailey
11117,Lars Frederiksen
11120,Rick Nielsen
11146,Cat Stevens
11169,Santana
11175,Thurston Moore
11184,Ice-T
11206,Edward Ka-Spel
11249,Danny Coughlan
11270,Pistol Annies
11272,Kronos Quartet
11299,Quelle Chris
11340,Mike Scheidt
11341,Duke Garwood
11357,Jim Becker
11388,Jimmie Dale Gilmore
11412,Charles Lloyd
11437,RM Hubbert
11446,Stephen Cooper
11448,Emma Baker
11456,Andy Shauf
11460,Bradley Cooper
11469,Mary Lattimore
11487,Ben Nichols
11527,Daniel Lanois
11574,Body
11594,RM Hubbert
11601,Oli Wilson
11608,Taylor Goldsmith
11613,Manthe Ribane
11622,Andrew Scott
11626,Woods
11694,Hannah Joy
11705,Laura Harris
11720,Cheval Sombre
11725,Zach Miller
11726,Liam Finn
11743,White Fence
11756,Wolf Muse
11758,Nile
11787,Shaggy
11807,Madlib
11829,"Colins ""Bear"" Regisford"
11836,Cathy Lucas
11847,Nick Hakim
11850,Krzysztof Penderecki
11880,John Parish
11929,Dawn Richard
11961,Chris Masterson
11997,Danger Mouse
12010,Neil Young
12039,Mark Lanegan
12042,Julia Kugel
12082,Iron & Wine
12117,Aesop Rock
12141,Tom May
12200,Robert Pollard
12203,Ghostface Killah
12207,Justin Davis
12260,Billy Corgan
12273,Peter Doherty
12296,Courtney Taylor-Taylor
12297,Seth Avett
